hla_class,intersection,n_proteins,uniprot_id,gene_name
HLA-I,LUAD only,8,P08572,CO4A2
HLA-I,LUAD only,8,P15514,AREG
HLA-I,LUAD only,8,P20908,CO5A1
HLA-I,LUAD only,8,P21589,5NTD
HLA-I,LUAD only,8,Q10472,GALT1
HLA-I,LUAD only,8,Q10589,BST2
HLA-I,LUAD only,8,Q6NZ67,MZT2B
HLA-I,LUAD only,8,Q9C0H2,TTYH3
HLA-I,LUSC only,3,P05997,CO5A2
HLA-I,LUSC only,3,P15144,AMPN
HLA-I,LUSC only,3,P35442,TSP2
HLA-I,Healthy only,17,A0A0J9YX35,X35|HV64D
HLA-I,Healthy only,17,P01008,ANT3
HLA-I,Healthy only,17,P01042,KNG1
HLA-I,Healthy only,17,P02654,APOC1
HLA-I,Healthy only,17,P02774,VTDB
HLA-I,Healthy only,17,P02787,TRFE
HLA-I,Healthy only,17,P02790,HEMO
HLA-I,Healthy only,17,P04217,A1BG
HLA-I,Healthy only,17,P06727,APOA4
HLA-I,Healthy only,17,P07998,RNAS1
HLA-I,Healthy only,17,P12429,ANXA3
HLA-I,Healthy only,17,P18669,PGAM1
HLA-I,Healthy only,17,P32119,PRDX2
HLA-I,Healthy only,17,P50895,BCAM
HLA-I,Healthy only,17,Q14515,SPRL1
HLA-I,Healthy only,17,Q15907,RB11B
HLA-I,Healthy only,17,Q92854,SEM4D
HLA-I,LUAD & LUSC,70,A0A0J9YXX1,XX1|HV5X1
HLA-I,LUAD & LUSC,70,O14782,KIF3C
HLA-I,LUAD & LUSC,70,O60462,NRP2
HLA-I,LUAD & LUSC,70,O60925,PFD1
HLA-I,LUAD & LUSC,70,O75330,HMMR
HLA-I,LUAD & LUSC,70,O75486,SUPT3
HLA-I,LUAD & LUSC,70,O75626,PRDM1
HLA-I,LUAD & LUSC,70,P00533,EGFR
HLA-I,LUAD & LUSC,70,P02452,CO1A1
HLA-I,LUAD & LUSC,70,P02461,CO3A1
HLA-I,LUAD & LUSC,70,P02788,TRFL
HLA-I,LUAD & LUSC,70,P05386,RLA1
HLA-I,LUAD & LUSC,70,P05387,RLA2
HLA-I,LUAD & LUSC,70,P06312,KV401
HLA-I,LUAD & LUSC,70,P06865,HEXA
HLA-I,LUAD & LUSC,70,P07737,PROF1
HLA-I,LUAD & LUSC,70,P08123,CO1A2
HLA-I,LUAD & LUSC,70,P08253,MMP2
HLA-I,LUAD & LUSC,70,P09619,PGFRB
HLA-I,LUAD & LUSC,70,P17900,SAP3
HLA-I,LUAD & LUSC,70,P19397,CD53
HLA-I,LUAD & LUSC,70,P24347,MMP11
HLA-I,LUAD & LUSC,70,P36955,PEDF
